HUD frame time nsec:,4910000

Range Index,Elapsed Time, First Event,Last Event
0,9888,10,10
1,1216,74,74
2,1216,117,117
3,1216,160,160
4,1216,203,203
5,25536,246,246
6,13536,297,297
7,1216,348,348
8,20832,399,399
9,8064,441,441
10,1216,442,442
11,1216,443,443
12,10240,444,444
13,1248,445,445
14,1216,446,446
15,1216,447,447
16,1184,448,448
17,1216,449,449
18,8096,491,491
19,1216,492,492
20,1216,493,493
21,1184,494,494
22,1248,495,495
23,1216,496,496
24,1216,497,497
25,1248,498,498
26,1216,499,499
27,7968,541,541
28,1216,542,542
29,1216,543,543
30,1216,544,544
31,1248,545,545
32,1184,546,546
33,1216,547,547
34,1216,548,548
35,1216,549,549
36,8192,591,591
37,1216,592,592
38,1216,593,593
39,1216,594,594
40,1152,595,595
41,1216,596,596
42,1216,597,597
43,1248,598,598
44,1216,599,599
45,5856,624,624
46,1216,641,641
47,1216,658,658
48,1216,675,675
49,1216,690,690
50,1216,691,691
51,1216,692,692
52,1216,693,693
53,1216,694,694
54,1216,695,695
55,1216,696,696
56,1248,697,697
57,1216,711,711
58,1216,712,712
59,1216,713,713
60,1216,714,714
61,1216,715,715
62,1216,716,716
63,1216,717,717
64,1216,718,718
65,1216,732,732
66,1216,733,733
67,1248,734,734
68,1216,735,735
69,1216,736,736
70,1216,737,737
71,1216,738,738
72,1216,739,739
73,1216,753,753
74,1216,754,754
75,1216,755,755
76,1216,756,756
77,1216,757,757
78,1248,758,758
79,1216,759,759
80,1216,760,760
81,560416,807,807
82,4352,829,829
83,41504,857,857
84,12082720,871,871
