HUD frame time nsec:,4631000

Range Index,Elapsed Time, First Event,Last Event
0,9888,10,10
1,1248,74,74
2,1248,117,117
3,1312,160,160
4,1216,203,203
5,20192,246,246
6,13280,297,297
7,1216,348,348
8,12448,399,399
9,7936,441,441
10,1216,442,442
11,1216,443,443
12,1216,444,444
13,1216,445,445
14,1248,446,446
15,1248,447,447
16,1824,448,448
17,1216,449,449
18,8032,491,491
19,1216,492,492
20,1216,493,493
21,1216,494,494
22,1216,495,495
23,1216,496,496
24,1216,497,497
25,1216,498,498
26,1216,499,499
27,8032,541,541
28,1216,542,542
29,1216,543,543
30,1216,544,544
31,1216,545,545
32,1216,546,546
33,1184,547,547
34,1216,548,548
35,1248,549,549
36,8128,591,591
37,1216,592,592
38,1216,593,593
39,1216,594,594
40,1216,595,595
41,1216,596,596
42,1216,597,597
43,1216,598,598
44,1216,599,599
45,5408,624,624
46,1216,641,641
47,1216,658,658
48,1216,675,675
49,1216,690,690
50,1216,691,691
51,1216,692,692
52,1216,693,693
53,1216,694,694
54,1216,695,695
55,1216,696,696
56,1216,697,697
57,1216,711,711
58,1248,712,712
59,1184,713,713
60,1248,714,714
61,1216,715,715
62,1216,716,716
63,1248,717,717
64,1248,718,718
65,1216,732,732
66,1216,733,733
67,1216,734,734
68,1216,735,735
69,1216,736,736
70,1216,737,737
71,1216,738,738
72,1216,739,739
73,1216,753,753
74,1216,754,754
75,1216,755,755
76,1248,756,756
77,1216,757,757
78,1216,758,758
79,1248,759,759
80,1216,760,760
81,559648,807,807
82,4352,829,829
83,40896,857,857
84,11704448,871,871
